NAME,YEAR,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE,NPOPCHG,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene TX 2010,2010,Metropolitan Statistical Area,165252,165252,165642,390,574,391,183,90,118,208,-1
Akron OH 2010,2010,Metropolitan Statistical Area,703200,703207,702967,-240,1830,1591,239,259,-729,-470,-9
Albany GA 2010,2010,Metropolitan Statistical Area,157308,157500,157663,163,540,410,130,19,16,35,-2
Albany OR 2010,2010,Metropolitan Statistical Area,116672,116672,116871,199,369,260,109,13,80,93,-3
Albany-Schenectady-Troy NY 2010,2010,Metropolitan Statistical Area,870716,870720,870954,234,2252,1794,458,536,-737,-201,-23
Albuquerque NM 2010,2010,Metropolitan Statistical Area,887077,887075,889649,2574,2820,1423,1397,222,917,1139,38
Alexandria LA 2010,2010,Metropolitan Statistical Area,153922,153922,154127,205,495,373,122,34,54,88,-5
Allentown-Bethlehem-Easton PA-NJ 2010,2010,Metropolitan Statistical Area,821173,821303,822083,780,2127,1961,166,496,165,661,-47
Altoona PA 2010,2010,Metropolitan Statistical Area,127089,127078,127030,-48,342,389,-47,10,-3,7,-8
Amarillo TX 2010,2010,Metropolitan Statistical Area,251933,251933,252696,763,909,586,323,134,292,426,14
Ames IA 2010,2010,Metropolitan Statistical Area,89542,89542,89596,54,221,86,135,134,-221,-87,6
Anchorage AK 2010,2010,Metropolitan Statistical Area,380821,380821,383120,2299,1450,422,1028,348,886,1234,37
Ann Arbor MI 2010,2010,Metropolitan Statistical Area,344791,345066,345525,459,945,541,404,436,-396,40,15
Anniston-Oxford-Jacksonville AL 2010,2010,Metropolitan Statistical Area,118572,118586,118443,-143,323,311,12,6,-157,-151,-4
Appleton WI 2010,2010,Metropolitan Statistical Area,225666,225666,225850,184,655,363,292,42,-149,-107,-1
Asheville NC 2010,2010,Metropolitan Statistical Area,424858,424859,425465,606,1079,1135,-56,87,560,647,15
Athens-Clarke County GA 2010,2010,Metropolitan Statistical Area,192541,192541,193476,935,623,349,274,103,524,627,34
Atlanta-Sandy Springs-Roswell GA 2010,2010,Metropolitan Statistical Area,5286728,5286727,5304207,17480,18638,7711,10927,3744,2514,6258,295
Atlantic City-Hammonton NJ 2010,2010,Metropolitan Statistical Area,274549,274549,274762,213,802,546,256,351,-384,-33,-10
Auburn-Opelika AL 2010,2010,Metropolitan Statistical Area,140247,140296,140799,503,433,237,196,132,170,302,5
Augusta-Richmond County GA-SC 2010,2010,Metropolitan Statistical Area,564873,564873,566683,1810,1912,1230,682,264,844,1108,20
Austin-Round Rock TX 2010,2010,Metropolitan Statistical Area,1716289,1716303,1727743,11440,6306,1950,4356,1167,5608,6775,309
Bakersfield CA 2010,2010,Metropolitan Statistical Area,839631,839631,841762,2131,3593,1361,2232,325,-444,-119,18
Baltimore-Columbia-Towson MD 2010,2010,Metropolitan Statistical Area,2710489,2710597,2715625,5028,8444,5531,2913,2085,144,2229,-114
Bangor ME 2010,2010,Metropolitan Statistical Area,153923,153920,153831,-89,378,374,4,22,-118,-96,3
Barnstable Town MA 2010,2010,Metropolitan Statistical Area,215888,215888,215903,15,419,707,-288,87,210,297,6
Baton Rouge LA 2010,2010,Metropolitan Statistical Area,802484,802500,804491,1991,2758,1424,1334,302,346,648,9
Battle Creek MI 2010,2010,Metropolitan Statistical Area,136146,136148,135998,-150,385,452,-67,44,-126,-82,-1
Bay City MI 2010,2010,Metropolitan Statistical Area,107771,107771,107695,-76,299,300,-1,5,-77,-72,-3
Beaumont-Port Arthur TX 2010,2010,Metropolitan Statistical Area,403190,403190,403748,558,1395,834,561,121,-97,24,-27
Beckley WV 2010,2010,Metropolitan Statistical Area,124898,124901,124902,1,382,423,-41,23,35,58,-16
Bellingham WA 2010,2010,Metropolitan Statistical Area,201140,201140,201518,378,559,358,201,73,125,198,-21
Bend-Redmond OR 2010,2010,Metropolitan Statistical Area,157733,157733,157828,95,419,372,47,4,81,85,-37
Billings MT 2010,2010,Metropolitan Statistical Area,158934,158934,159338,404,505,392,113,12,275,287,4
Binghamton NY 2010,2010,Metropolitan Statistical Area,251725,251725,251469,-256,637,556,81,113,-447,-334,-3
Birmingham-Hoover AL 2010,2010,Metropolitan Statistical Area,1128047,1128056,1129034,978,3744,2634,1110,292,-445,-153,21
Bismarck ND 2010,2010,Metropolitan Statistical Area,114778,114778,115233,455,378,275,103,5,337,342,10
Blacksburg-Christiansburg-Radford VA 2010,2010,Metropolitan Statistical Area,178237,178254,178512,258,428,273,155,151,-33,118,-15
Bloomington IL 2010,2010,Metropolitan Statistical Area,186133,186133,186421,288,551,344,207,130,-39,91,-10
Bloomington IN 2010,2010,Metropolitan Statistical Area,159549,159542,160107,565,411,307,104,190,257,447,14
Bloomsburg-Berwick PA 2010,2010,Metropolitan Statistical Area,85562,85563,85656,93,218,183,35,22,40,62,-4
Boise City ID 2010,2010,Metropolitan Statistical Area,616561,616561,617923,1362,2122,809,1313,191,-99,92,-43
Boston-Cambridge-Newton MA-NH 2010,2010,Metropolitan Statistical Area,4552402,4552412,4564659,12247,12571,7978,4593,5677,1986,7663,-9
Boston MA 2010,2010,Metropolitan Division,1887792,1887745,1893820,6075,5339,3297,2042,2562,1413,3975,58
Cambridge-Newton-Framingham MA 2010,2010,Metropolitan Division,2246244,2246301,2252330,6029,6309,3918,2391,3050,645,3695,-57
Rockingham County-Strafford County NH 2010,2010,Metropolitan Division,418366,418366,418509,143,923,763,160,65,-72,-7,-10
Boulder CO 2010,2010,Metropolitan Statistical Area,294567,294571,295967,1396,753,347,406,194,750,944,46
Bowling Green KY 2010,2010,Metropolitan Statistical Area,158599,158599,159181,582,477,212,265,95,218,313,4
Bremerton-Silverdale WA 2010,2010,Metropolitan Statistical Area,251133,251133,251650,517,697,505,192,128,206,334,-9
Bridgeport-Stamford-Norwalk CT 2010,2010,Metropolitan Statistical Area,916829,916828,919506,2678,2533,1512,1021,1227,462,1689,-32
Brownsville-Harlingen TX 2010,2010,Metropolitan Statistical Area,406220,406220,407672,1452,1868,598,1270,47,141,188,-6
Brunswick GA 2010,2010,Metropolitan Statistical Area,112370,112368,112574,206,371,250,121,25,69,94,-9
Buffalo-Cheektowaga-Niagara Falls NY 2010,2010,Metropolitan Statistical Area,1135509,1135541,1135342,-199,2914,2849,65,582,-772,-190,-74
Burlington NC 2010,2010,Metropolitan Statistical Area,151131,151241,151551,310,451,389,62,37,212,249,-1
Burlington-South Burlington VT 2010,2010,Metropolitan Statistical Area,211261,211262,211508,246,532,324,208,67,-12,55,-17
