Urban_Area,Pop_Group,Yr,Population,Pop_Rank,Commuters,Freeway_Daily_Miles,Street_Daily_Miles,Value_of_Time,Comm_Value_of_Time,Gas_Cost,Diesel_Cost,Excess_Fuel_Gal,Excess_Fuel_Per_Com,Annual_Delay_Hours,Delay_Per_Commuter,Com_Stress_Ind,Congestion_Cost,Congest_Cost_Per_Com
Akron OH,Med,1982,515,53,205,2745,2120,7.2,43.08,1.38,1.34,916,2,1709,5,1.03,97,216
Akron OH,Med,1983,515,54,208,3160,2380,7.43,44.23,1.32,1.29,1066,2,1988,6,1.04,109,244
Akron OH,Med,1984,515,55,209,3290,2555,7.75,46.47,1.29,1.26,1363,3,2542,7,1.04,134,299
Akron OH,Med,1986,515,56,212,3390,2715,8.18,46.57,0.98,0.95,1560,3,2909,8,1.05,146,324
Akron OH,Med,1985,515,55,211,3255,2395,8.03,47.83,1.28,1.24,1407,3,2625,7,1.04,134,298
Akron OH,Med,1987,515,57,214,3435,2615,8.48,48.53,1,0.97,1634,4,3047,9,1.05,147,328
Akron OH,Med,1988,515,59,216,3870,2725,8.83,50.04,1,0.97,2061,5,3844,11,1.06,178,397
Akron OH,Med,1989,520,59,219,4105,2910,9.25,52.81,1.08,1.05,2580,6,4811,13,1.07,213,474
Akron OH,Med,1990,520,61,221,4145,3070,9.75,55.03,1.06,1.1,3034,7,5659,16,1.08,237,529
Akron OH,Med,1991,520,61,224,4140,3215,10.17,57.31,1.13,1.25,3505,8,6537,18,1.09,263,587
Akron OH,Med,1992,525,62,229,4230,3365,10.47,59.01,1.11,1.19,4256,9,7937,21,1.1,310,692
Akron OH,Med,1993,530,62,234,4580,3520,10.78,60.84,1.09,1.19,4850,11,9046,24,1.11,343,765
Akron OH,Med,1994,530,63,237,4715,3770,11.06,62.23,1.08,1.17,5203,12,9703,25,1.12,359,800
Akron OH,Med,1995,535,63,243,4635,3900,11.37,64.27,1.12,1.22,5368,12,10011,26,1.12,360,803
Akron OH,Med,1998,545,63,257,5210,4040,12.17,65.76,1.11,1.17,5642,13,10521,26,1.12,354,789
Akron OH,Med,1996,535,63,246,4775,4105,11.71,66.2,1.28,1.39,5608,13,10459,27,1.13,365,815
Akron OH,Med,1999,550,63,262,5245,4050,12.43,66.76,1.14,1.15,5724,13,10674,26,1.12,351,783
Akron OH,Med,1997,540,63,251,5100,3995,11.98,66.83,1.13,1.25,5627,13,10493,26,1.12,358,799
Akron OH,Med,2000,550,64,265,5320,4005,12.85,70.47,1.55,1.53,5896,13,10996,26,1.12,350,780
Akron OH,Med,2002,555,66,275,5335,3990,13.43,70.86,1.38,1.36,6054,13,11290,26,1.12,344,767
Akron OH,Med,2001,550,65,269,5350,4005,13.22,71.38,1.3,1.49,5908,13,11019,26,1.12,341,760
Akron OH,Med,2003,555,66,278,5435,3990,13.73,72.23,1.52,1.49,6200,14,11562,27,1.13,345,768
Akron OH,Med,2004,560,66,282,5650,4025,14.1,74.17,1.81,1.94,6379,14,11897,27,1.13,345,770
Akron OH,Med,2005,565,67,286,5555,4100,14.58,78.05,2.24,2.48,6507,15,12135,28,1.13,341,759
Akron OH,Med,2006,565,68,288,5600,4445,15.06,80.43,2.58,2.83,6655,15,12411,28,1.13,337,752
Akron OH,Med,2008,570,69,294,5600,4500,16.1,81.52,3.4,4.17,6601,15,12311,27,1.13,314,699
Akron OH,Med,2007,570,68,292,5530,4385,15.47,82.56,2.88,3.35,6796,15,12674,28,1.13,335,747
Akron OH,Med,2011,570,70,297,5729,4704,16.79,86.81,3.25,3.69,6141,14,11453,25,1.12,279,622
Akron OH,Med,2010,570,70,296,5738,4712,16.3,88.12,2.64,2.96,6099,14,11374,25,1.12,286,637
Akron OH,Med,2012,570,71,298,5480,4400,17.14,89.56,3.58,3.87,6299,14,11747,26,1.12,281,625
Akron OH,Med,2013,570,73,298,5660,4475,17.39,89.6,3.48,3.91,6404,14,11943,26,1.12,281,627
Akron OH,Med,2009,570,69,295,5675,4600,16.01,89.75,2.19,2.58,6070,14,11319,25,1.12,289,645
Akron OH,Med,2014,570,73,292,5847,4493,17.67,94.04,3.16,3.67,6586,15,12283,27,1.13,284,634
Albany-Schenectady NY,Med,1982,500,54,187,2450,2750,7.2,43.08,1.44,1.34,1141,2,2292,7,1.04,132,273
Albany-Schenectady NY,Med,1983,495,57,188,2495,2840,7.43,44.23,1.38,1.28,1190,2,2389,7,1.04,133,276
Albany-Schenectady NY,Med,1984,475,59,181,2740,2900,7.75,46.47,1.35,1.25,1265,3,2540,8,1.05,136,281
Albany-Schenectady NY,Med,1986,480,61,186,3270,2950,8.18,46.57,1.02,0.95,1642,3,3297,10,1.06,167,346
Albany-Schenectady NY,Med,1985,475,60,183,3040,2920,8.03,47.83,1.34,1.24,1537,3,3087,10,1.05,159,330
Albany-Schenectady NY,Med,1987,480,64,187,3645,2980,8.48,48.53,1.05,0.97,1812,4,3639,11,1.06,178,368
Albany-Schenectady NY,Med,1988,485,64,191,3800,3000,8.83,50.04,1.04,0.97,2128,4,4273,13,1.07,201,415
Albany-Schenectady NY,Med,1989,490,63,194,3990,3105,9.25,52.81,1.13,1.05,2288,5,4595,14,1.07,206,426
Albany-Schenectady NY,Med,1990,490,64,196,4160,3300,9.75,55.03,1.07,1.09,2796,6,5614,17,1.08,238,493
Albany-Schenectady NY,Med,1991,490,64,199,4260,3500,10.17,57.31,1.21,1.35,2951,6,5925,17,1.08,241,500
Albany-Schenectady NY,Med,1992,490,64,201,4405,3700,10.47,59.01,1.24,1,3137,6,6298,18,1.09,249,516
Albany-Schenectady NY,Med,1993,490,65,204,4520,3750,10.78,60.84,1.21,1.13,3234,7,6494,19,1.09,249,516
Albany-Schenectady NY,Med,1994,495,65,208,4605,3800,11.06,62.23,1.15,1.07,3561,7,7151,20,1.1,268,554
Albany-Schenectady NY,Med,1995,495,66,211,4625,3900,11.37,64.27,1.27,1.19,3725,8,7480,21,1.1,272,564
Albany-Schenectady NY,Med,1998,505,68,224,5150,4280,12.17,65.76,1.15,1.29,4799,10,9635,26,1.12,328,679
Albany-Schenectady NY,Med,1996,495,66,214,4850,3950,11.71,66.2,1.37,1.28,3958,8,7946,22,1.1,281,582
Albany-Schenectady NY,Med,1999,510,68,229,5330,4350,12.43,66.76,1.19,1.24,5082,11,10204,27,1.12,340,704
Albany-Schenectady NY,Med,1997,500,67,218,4975,4100,11.98,66.83,1.31,1.39,4203,9,8439,23,1.11,292,604
Albany-Schenectady NY,Med,2000,515,68,234,5500,4375,12.85,70.47,1.64,1.65,5691,12,11428,29,1.13,368,762
Albany-Schenectady NY,Med,2002,530,68,247,5820,4450,13.43,70.86,1.49,1.51,6560,14,13172,32,1.15,406,841
Albany-Schenectady NY,Med,2001,520,68,239,5730,4400,13.22,71.38,1.72,1.7,6072,13,12192,31,1.14,382,791
Albany-Schenectady NY,Med,2003,545,67,257,6000,4475,13.73,72.23,1.62,1.73,7466,15,14991,36,1.16,452,936
Albany-Schenectady NY,Med,2004,560,66,265,6210,4660,14.1,74.17,2.14,2.14,8065,17,16193,37,1.16,476,985
Albany-Schenectady NY,Med,2005,575,66,274,6400,4800,14.58,78.05,2.4,2.66,8976,19,18023,40,1.18,512,1060
Albany-Schenectady NY,Med,2006,590,66,283,6755,5205,15.06,80.43,2.82,3.03,9299,19,18671,41,1.18,514,1063
Albany-Schenectady NY,Med,2008,605,66,293,6970,5115,16.1,81.52,3.55,4.52,9605,20,19285,41,1.18,497,1029
Albany-Schenectady NY,Med,2007,600,65,289,7005,5260,15.47,82.56,3.19,3.71,9562,20,19199,41,1.18,514,1064
Albany-Schenectady NY,Med,2011,610,66,299,7173,5501,16.79,86.81,3.65,3.99,9650,20,19376,40,1.18,478,990
Albany-Schenectady NY,Med,2010,610,67,298,7161,5429,16.3,88.12,2.95,3.21,9554,20,19184,40,1.17,488,1011
Albany-Schenectady NY,Med,2012,610,67,300,7060,5490,17.14,89.56,3.75,4.17,9780,20,19638,41,1.18,475,983
Albany-Schenectady NY,Med,2013,610,68,300,7068,5513,17.39,89.6,3.79,4.2,9976,21,20031,42,1.18,477,988
Albany-Schenectady NY,Med,2009,605,66,294,7000,5300,16.01,89.75,2.47,2.9,9480,20,19035,40,1.18,493,1020
Albany-Schenectady NY,Med,2014,610,68,300,7273,5623,17.67,94.04,3.63,3.92,10164,21,20409,42,1.18,479,991
Albuquerque NM,Med,1982,470,59,183,1735,5000,7.2,43.08,1.47,1.26,2400,4,4477,15,1.09,269,476
Albuquerque NM,Med,1983,480,59,189,1885,5200,7.43,44.23,1.41,1.21,2664,5,4970,16,1.09,289,512
Albuquerque NM,Med,1984,480,58,190,1870,5400,7.75,46.47,1.37,1.18,2836,5,5292,17,1.1,295,522
Albuquerque NM,Med,1986,495,58,199,1980,5650,8.18,46.57,1.04,0.89,3206,6,5981,19,1.1,316,559
Albuquerque NM,Med,1985,485,59,194,1865,5500,8.03,47.83,1.36,1.17,2877,5,5369,17,1.1,289,511
Albuquerque NM,Med,1987,505,58,204,2100,5750,8.48,48.53,1.06,0.91,3329,6,6211,19,1.1,317,561
Albuquerque NM,Med,1988,520,56,212,2225,5900,8.83,50.04,1.06,0.91,3486,6,6505,19,1.11,319,564
Albuquerque NM,Med,1989,530,56,218,2310,6050,9.25,52.81,1.15,0.99,3827,7,7140,20,1.11,334,590
Albuquerque NM,Med,1990,545,56,226,2430,6100,9.75,55.03,1.11,1.05,4107,7,7663,21,1.12,340,601
Albuquerque NM,Med,1991,560,56,235,2480,6150,10.17,57.31,1.1,1.14,4509,8,8413,22,1.12,358,633
Albuquerque NM,Med,1992,570,57,243,2670,6275,10.47,59.01,1.2,1.15,4845,9,9039,24,1.13,373,661
Albuquerque NM,Med,1993,580,58,250,2940,6300,10.78,60.84,1.21,1.2,5568,10,10390,26,1.14,417,737
Albuquerque NM,Med,1994,595,57,260,3100,6335,11.06,62.23,1.18,1.17,6052,11,11292,28,1.14,442,781
Albuquerque NM,Med,1995,620,56,274,3255,6425,11.37,64.27,1.23,1.23,6722,12,12543,29,1.15,477,844
Albuquerque NM,Med,1998,660,54,303,3720,6500,12.17,65.76,1.12,1.18,9255,16,17268,37,1.19,614,1086
Albuquerque NM,Med,1996,645,55,289,3505,6490,11.71,66.2,1.31,1.31,7567,13,14119,31,1.16,521,922
Albuquerque NM,Med,1999,660,55,307,3825,6500,12.43,66.76,1.2,1.2,9824,17,18330,39,1.2,638,1128
Albuquerque NM,Med,1997,650,54,295,3585,6650,11.98,66.83,1.25,1.29,8458,15,15781,35,1.18,570,1008
Albuquerque NM,Med,2000,660,55,311,3875,6600,12.85,70.47,1.52,1.48,9958,18,18579,39,1.2,625,1106
Albuquerque NM,Med,2002,655,59,317,4100,6785,13.43,70.86,1.37,1.34,10143,18,18925,40,1.2,610,1078
Albuquerque NM,Med,2001,670,55,319,3980,6670,13.22,71.38,1.55,1.61,10051,18,18755,39,1.19,614,1086
Albuquerque NM,Med,2003,675,57,330,4285,7050,13.73,72.23,1.52,1.51,10243,18,19113,39,1.19,602,1065
Albuquerque NM,Med,2004,685,57,337,4515,7240,14.1,74.17,1.92,2,10414,18,19431,39,1.19,596,1054
Albuquerque NM,Med,2005,695,57,343,4665,7335,14.58,78.05,2.36,2.56,10605,19,19787,39,1.19,587,1039
Albuquerque NM,Med,2006,700,57,348,4750,7445,15.06,80.43,2.65,2.91,10627,19,19829,38,1.19,569,1007
Albuquerque NM,Med,2008,710,57,357,4925,7460,16.1,81.52,3.43,4.14,10909,19,20354,38,1.19,548,969
Albuquerque NM,Med,2007,705,57,353,4875,7470,15.47,82.56,3.24,3.61,10753,19,20063,38,1.19,561,992
Albuquerque NM,Med,2011,740,57,364,5469,7627,16.79,86.81,3.31,3.69,10596,19,19771,36,1.18,509,901
Albuquerque NM,Med,2010,740,57,370,5326,7566,16.3,88.12,2.71,2.94,10453,18,19503,35,1.18,518,917
Albuquerque NM,Med,2012,740,57,360,5025,7220,17.14,89.56,3.24,3.89,10705,19,19975,37,1.19,504,892
Albuquerque NM,Med,2013,745,57,359,4818,7584,17.39,89.6,3.42,3.84,10829,19,20206,37,1.19,503,889
Albuquerque NM,Med,2009,725,56,366,5150,7500,16.01,89.75,2.32,2.55,10470,19,19535,36,1.18,528,934
Albuquerque NM,Med,2014,760,57,380,4736,7834,17.67,94.04,3.2,3.57,10961,19,20452,36,1.18,501,886
Allentown PA-NJ,Med,1982,440,63,172,1735,2965,7.2,43.08,1.35,1.32,1858,3,3636,11,1.09,205,362
Allentown PA-NJ,Med,1983,450,61,178,1885,2980,7.43,44.23,1.3,1.26,2000,4,3915,12,1.09,214,378
Allentown PA-NJ,Med,1984,455,61,181,1870,3030,7.75,46.47,1.27,1.23,2071,4,4054,12,1.09,212,375
Allentown PA-NJ,Med,1986,475,64,192,1980,3205,8.18,46.57,0.96,0.93,2371,4,4641,13,1.09,230,407
Allentown PA-NJ,Med,1985,465,62,187,1865,3100,8.03,47.83,1.25,1.22,2189,4,4286,12,1.09,217,383
Allentown PA-NJ,Med,1987,485,63,197,2100,3260,8.48,48.53,0.98,0.95,2658,5,5203,14,1.08,249,440
Allentown PA-NJ,Med,1988,490,62,201,2225,3315,8.83,50.04,0.98,0.95,2701,5,5288,14,1.09,243,429
Allentown PA-NJ,Med,1989,500,62,207,2310,3375,9.25,52.81,1.06,1.03,2824,5,5528,14,1.08,243,428
Allentown PA-NJ,Med,1990,505,62,210,2430,3450,9.75,55.03,1.3,1.08,3311,6,6481,17,1.09,270,476
Allentown PA-NJ,Med,1991,520,61,220,2480,3560,10.17,57.31,1.16,1.29,3516,6,6882,17,1.1,275,485
Allentown PA-NJ,Med,1992,525,62,225,2670,3800,10.47,59.01,1.14,1.28,4091,7,8009,20,1.13,311,548
Allentown PA-NJ,Med,1993,530,62,230,2940,4020,10.78,60.84,1.09,1.21,4670,8,9141,22,1.14,344,608
Allentown PA-NJ,Med,1994,540,62,237,3100,4210,11.06,62.23,1.04,1.15,5462,10,10693,25,1.15,393,693
Allentown PA-NJ,Med,1995,550,62,244,3255,4335,11.37,64.27,1.19,1.32,6290,11,12314,28,1.17,440,776
Allentown PA-NJ,Med,1998,580,62,268,3720,4860,12.17,65.76,1.06,1.2,8017,14,15694,33,1.18,524,925
Allentown PA-NJ,Med,1996,560,62,252,3505,4505,11.71,66.2,1.26,1.39,7263,13,14217,31,1.19,493,870
Allentown PA-NJ,Med,1999,590,62,276,3800,5040,12.43,66.76,1.11,1.19,8243,15,16136,33,1.19,527,930
Allentown PA-NJ,Med,1997,575,61,262,3585,4710,11.98,66.83,1.19,1.3,7873,14,15411,33,1.18,523,922
Allentown PA-NJ,Med,2000,600,62,284,3920,5210,12.85,70.47,1.51,1.57,8667,15,16967,34,1.2,536,946
Allentown PA-NJ,Med,2002,610,62,296,4200,5280,13.43,70.86,1.36,1.43,8672,15,16976,33,1.19,514,906
Allentown PA-NJ,Med,2001,605,62,290,4050,5250,13.22,71.38,1.54,1.59,8639,15,16910,33,1.19,520,917
Allentown PA-NJ,Med,2003,615,62,302,4600,5300,13.73,72.23,1.51,1.59,8404,15,16450,31,1.19,487,859
Allentown PA-NJ,Med,2004,620,61,306,4870,5350,14.1,74.17,1.94,2.03,8484,15,16607,31,1.19,478,844
Allentown PA-NJ,Med,2005,620,62,308,5085,5425,14.58,78.05,2.28,2.58,8588,15,16811,32,1.19,468,827
Allentown PA-NJ,Med,2006,620,64,310,4950,5445,15.06,80.43,2.68,2.93,8594,15,16823,31,1.19,454,801
Allentown PA-NJ,Med,2008,625,63,316,4780,5475,16.1,81.52,3.42,4.41,8303,15,16254,30,1.18,411,725
Allentown PA-NJ,Med,2007,625,63,314,4935,5630,15.47,82.56,2.87,3.56,8631,15,16896,31,1.19,444,783
Allentown PA-NJ,Med,2011,645,63,330,5096,5399,16.79,86.81,3.41,3.79,8527,15,16691,30,1.19,404,713
Allentown PA-NJ,Med,2010,640,63,326,5080,5382,16.3,88.12,2.78,3.12,8432,15,16506,30,1.19,412,727
Allentown PA-NJ,Med,2012,650,63,333,5080,5400,17.14,89.56,3.55,4,8594,15,16824,30,1.19,399,704
